metric,R_median,NR_median,fold_R_over_NR,p_R_greater_NR,p_R_less_NR,p_two_sided,spearman_vs_coexact_fraction,spearman_vs_coexact_p,spearman_vs_spatial_score,spearman_vs_spatial_score_p
mode_TM_backbone,0.838082597272419,0.8540713438726585,0.9812793782218213,0.9820179820179821,0.02477522477522478,0.04955044955044956,-0.7098901098901099,0.004450741418764228,-0.36428571428571427,0.18191025904581398
mode_tumor_immune,0.09539587277228105,0.11408596633148103,0.8361753495190514,0.43196803196803196,0.6121878121878123,0.8639360639360639,-0.054945054945054944,0.8520077036323678,-0.1928571428571428,0.49104870160522307
mode_immune_immune,0.08364342464183833,0.03549289635821381,2.3566243734043657,0.0905094905094905,0.9276723276723277,0.181018981018981,0.7186813186813187,0.003779579961412291,0.5357142857142856,0.03956697222954946
mode_exhaustion_axis,0.05793772435518613,0.04219023015836941,1.373249781699036,0.05674325674325675,0.956043956043956,0.1134865134865135,0.4857142857142857,0.07827588645863326,0.33928571428571425,0.2160289253419548
mode_immune_immune_abs,3300.2275095208456,848.6183769050472,3.8889418369148854,0.005994005994005994,0.9962037962037962,0.011988011988011988,0.556043956043956,0.03894365041866055,0.7749999999999999,0.000689645393951436
mode_immune_immune_entropy,0.7389191931436256,0.6884419598121869,1.0733209715240717,0.19420579420579417,0.8361638361638362,0.38841158841158835,0.45494505494505494,0.10215352669182919,0.5535714285714285,0.032287103770123615
immune_to_TM_ratio,0.10082625199208747,0.04223944948390366,2.387016242461273,0.07232767232767233,0.9432567432567432,0.14465534465534466,0.7274725274725274,0.0031906163189881565,0.5,0.057698841268959994
pca_mode_1_score,0.9927846612647941,-0.9958679822653628,-0.9969038858026563,0.04395604395604396,0.9668331668331669,0.08791208791208792,0.7450549450549451,0.0022300373167420677,0.4535714285714285,0.0894859001430273
pca_mode_2_score,-0.2834308645723344,0.6608012270878016,-0.4289200034025446,0.5680319680319681,0.4773226773226773,0.9546453546453546,-0.17802197802197803,0.5425969526062154,-0.1857142857142857,0.5075409629336735
pca_mode_3_score,-0.19223892301209994,-0.13406617947178656,1.433910653454471,0.3878121878121878,0.6555444555444555,0.7756243756243756,0.06373626373626373,0.8286264229286121,-0.24642857142857136,0.375950515973805
nmf_mode_1_score,0.421103760674707,0.40346883167084213,1.0437082808374356,0.6121878121878123,0.43196803196803196,0.8639360639360639,-0.03296703296703296,0.9109186530718452,0.1607142857142857,0.5671967045803447
nmf_mode_2_score,0.06592950656881601,0.008993876384102541,7.33048840642525,0.055165964657046616,0.9568253040388334,0.11033192931409323,0.6909559615740897,0.006212388542719411,0.5734803861861232,0.025411125346432046
nmf_mode_3_score,0.12615209186420792,0.17864220040141301,0.706171842829047,0.7356643356643356,0.3034965034965035,0.606993006993007,-0.2703296703296703,0.34991938634960434,-0.4142857142857142,0.1247154422365709
