sample_id,cancer_type,n_spots,n_edges,n_interface,n_tumor_core,total_energy,exact_energy,coexact_energy,exact_fraction,coexact_fraction,interface_coexact_density_mean,tumor_core_coexact_density_mean,interface_vs_tumor_enrichment,log2_interface_vs_tumor_enrichment,mwu_p_interface_gt_tumor,interface_density_p95,tumor_core_density_p95,density_gini_all,density_gini_interface,interface_lcc_fraction,spatial_score,valid,n_interface_ncg,n_edges_ncg,comm_TI,comm_TE,comm_TM,comm_IE,comm_IM,comm_EM,frac_TI,frac_TE,frac_TM,frac_IE,frac_IM,frac_EM,tumor_sector_strength,immune_sector_strength,tumor_sector_fraction,immune_sector_fraction,tm_dominance,immune_to_TM_ratio,operator_entropy,dominant_channel,TM_is_dominant,immune_sector_gt_TM,kts_state,coexact_enrichment_level,spatial_structure_level,immune_sector_level,tm_dominance_level,operator_entropy_level
Breast6,Breast,3987,23922,913,595,69042.19920474471,55518.55049374941,13521.573897245313,0.8041248849722918,0.1958450636421222,0.6643215603540024,0.1587062012893049,4.185857609551294,2.065523236226511,1.0302738141664447e-154,1.933021784245174,0.3363450969162674,0.5435486258602888,0.4483575369741643,0.447973713033954,0.2008523906050747,True,913,5478,195.6049398161917,196.09006677253652,184.3334293126483,231.17614637900132,176.0326766252472,207.45126945731255,0.1642788480419192,0.1646862820137673,0.154812467678752,0.1941533330272714,0.1478410788649086,0.1742279903733804,576.0284359013765,614.6600924615611,0.4837775977344387,0.5162224022655605,0.154812467678752,3.334501477857452,1.7878725784222795,IE,False,True,S4_TM_dominated_organized,high,high,mid,high,high
Breast7,Breast,4490,26940,1490,211,40521.922812523095,27846.597844253887,12674.88500604445,0.6871983339262479,0.3127908086860907,0.5462713411365792,0.3923117700832628,1.392441886256046,0.4776171177568417,1.058530512840942e-09,1.309076513329671,0.8671061992367968,0.3604217316301945,0.3651272857702046,0.6865771812080537,0.2506880626462545,True,1490,8940,168.84706711457153,161.71512686716954,136.2877991019268,222.62141604440237,195.84501759308665,168.56434201334486,0.1602145822599293,0.1534472699993915,0.129319941254437,0.2112396607366937,0.1858322339710751,0.1599463117784723,466.8499930836678,587.0307756508339,0.4429817935137579,0.5570182064862412,0.129319941254437,4.307287809467094,1.7798671832180395,IE,False,True,S2_mixed_interface,low,high,high,low,low
Breast8,Breast,4738,28428,1225,489,51937.478211294234,38615.43731932894,13318.501300140551,0.7434985033780808,0.2564333456075334,0.4825593110642878,0.2007891981070143,2.4033131045460703,1.265024615571941,3.5731816793133496e-79,1.278869624529006,0.5256303901366539,0.424266622271455,0.414936246290094,0.2448979591836734,0.1016170399077781,True,1225,7350,133.14525575260697,132.97765218986245,113.2469282754414,192.5713742681395,180.68004787961803,145.53738879913186,0.1482424693821117,0.1480558614111551,0.1260878895203265,0.2144068588283657,0.2011671862760181,0.1620397345820214,379.3698362179108,518.7888109468894,0.4223862203135934,0.5776137796864054,0.1260878895203265,4.581040906337667,1.774546596199741,IE,False,True,S2_immune_active,high,mid,high,low,low
Breast9,Breast,4865,29190,1409,411,57047.69097697537,38090.40219231303,18951.90039655668,0.6676940212652329,0.3322115246383193,0.6567351038849392,0.2372508201891699,2.768104672340137,1.4688984976756168,3.644682471942197e-109,1.6340546806141705,0.515015446473762,0.4212537833072969,0.372760485178881,0.127750177430802,0.0476202181207938,True,1409,8454,171.65448950662469,186.68077458614735,166.94925614943864,256.71333472738803,217.0820341015251,227.1728321783242,0.1399829631625389,0.1522367872064212,0.1361458802548721,0.2093478206236464,0.1770287888783126,0.1852577598742077,525.2845202422106,700.9682010072373,0.4283656306238322,0.5716343693761669,0.1361458802548721,4.19869017193935,1.7795066646813738,IE,False,True,S2_immune_active,high,low,high,low,low
Colorectal5,Colorectal,4882,29292,598,898,33513.84944980181,26080.250306436443,7431.511462665716,0.7781932166730156,0.2217444902531082,0.3611645313022194,0.144797251706448,2.494277529741554,1.3186219978489775,2.031646636549975e-114,0.8316276176239883,0.450342744809093,0.434502534663244,0.3598932609939695,0.1471571906354515,0.0529608812165038,True,598,3588,59.41908184459121,72.51606257348767,97.442603616561,76.79617059655034,73.2729330068467,86.62752256228633,0.1274884120083637,0.1555890359728712,0.2090709316163325,0.1647723514692581,0.1572129622714531,0.1858663066617192,229.3777480346399,236.69662616568337,0.4921483795975674,0.5078516204024304,0.2090709316163325,2.4290876616668404,1.780030434453911,TM,True,True,S1_fragmented_or_diffuse,high,low,mid,high,low
Colorectal6,Colorectal,4763,28578,420,991,41109.07504938506,36220.02003311603,4881.715320839468,0.8810711500953082,0.1187503079301827,0.35147555950829,0.084209989786893,4.173798861555282,2.0613610776354574,6.665066366044914e-129,0.9207563255968464,0.2016268839612059,0.5005907940282437,0.4436876794541549,0.0809523809523809,0.0359175740510506,True,420,2520,64.83499137023004,93.59185446419124,64.15426777223225,92.87279297283848,71.42372368937397,83.13500311598884,0.1379430823025172,0.199126252820435,0.1364947731515579,0.1975963758761189,0.1519612849020821,0.1768782309472865,222.5811136066535,247.4315197782013,0.4735641082745101,0.5264358917254877,0.1364947731515579,3.856820884569315,1.7795596932918625,TE,False,True,S1_fragmented_or_diffuse,high,low,mid,low,low
Colorectal7,Colorectal,4773,28638,1167,564,40451.00633595914,29684.71435616735,10763.219109287207,0.733843655448912,0.2660803793086153,0.5212078723421366,0.3153452479570383,1.6528166373748294,0.7249266816648332,8.540177352458497e-51,1.1859261810094128,0.7276233126206578,0.3547446079379646,0.3331122590167703,0.1919451585261354,0.063939285363973,True,1167,7002,133.91209749377472,134.66439607889927,97.74880470650704,128.1119589013268,110.18904473299482,108.31735251364007,0.1878298469482476,0.1888850475667719,0.1371059327052276,0.1796943672978839,0.1545550536129431,0.1519297518689243,366.325298279181,346.61835614796166,0.5138208272202471,0.4861791727797513,0.1371059327052276,3.546011198691252,1.7846390544889783,TE,False,True,S1_fragmented_or_diffuse,mid,low,low,low,mid
Colorectal8,Colorectal,4547,27282,795,632,35628.682372662355,30872.576521663636,4755.585490092912,0.8665090726271694,0.1334763222605683,0.2932108843714318,0.1323854698134819,2.2148267841049485,1.147193873731524,5.152545217974037e-87,0.7025000049043625,0.304149037478559,0.4221301020429895,0.3525517892201317,0.3886792452830189,0.1370295633572587,True,795,4770,70.03651961526207,76.02459041297888,70.2121995423137,77.65422131875975,79.7450662244209,86.0617526278217,0.1523412806866257,0.1653663478826772,0.1527234142538703,0.1689110708443114,0.1734590122953614,0.1871988740371515,216.27330957055463,243.46104017100237,0.4704310428231733,0.5295689571768244,0.1527234142538703,3.4675033933992627,1.789152701096417,EM,False,True,S2_mixed_interface,mid,high,high,mid,high
Glioblstoma2,Glioblastoma,3500,21000,1162,168,47717.11087555254,28396.558397705376,19317.479030946983,0.595102215466572,0.4048333747893385,0.7444693581021726,0.6298670244826565,1.1819468699960332,0.2411651860107562,0.1358567804205024,2.3127648142685744,1.474529563604151,0.4767878200833249,0.4763728859569984,0.5912220309810671,0.2816421451398088,True,1162,6972,290.69546025391014,195.789953811682,161.11401355289323,184.9724077258857,159.859311071922,135.1488537720046,0.2578047324405948,0.1736373062478816,0.1428847740523849,0.1640437110404552,0.1417720348403009,0.1198574413783816,647.5994276184854,479.98057256981224,0.5743268127408614,0.4256731872591378,0.1428847740523849,2.9791360911770295,1.7592406362862236,TI,False,True,S2_mixed_interface,low,high,low,mid,low
Glioblstoma3,Glioblastoma,4402,26412,1511,249,58975.66894130355,37135.98051462932,21833.97771616264,0.6296830740756749,0.3702200942882606,0.7350461547566951,0.5126606606536779,1.4337869299704535,0.5198306461368438,4.38131039638691e-18,1.7672881890114702,1.0286915196003226,0.3648391722715791,0.3489510776685114,0.3170086035737922,0.1106204938472647,True,1511,9066,200.6319816056699,171.7404722960021,142.91442149077832,200.45711760454213,170.70032515858583,136.64306207507408,0.1961044437479404,0.1678649112623044,0.1396893601195222,0.1959335257945899,0.1668482364821094,0.1335595225935326,515.2868753924503,507.8005048382021,0.503658715129767,0.496341284870232,0.1396893601195222,3.553178885246125,1.781022678900105,TI,False,True,S2_mixed_interface,low,mid,low,mid,mid
