sample_id,cancer_type,n_spots,tumor_q,immune_q,tumor_threshold,immune_threshold,n_tumor_high,n_immune_high,n_interface,n_tumor_core,n_immune_region,interface_fraction,interface_components,interface_largest_component,interface_lcc_fraction,valid_for_hodge
Breast6,Breast,3987,0.75,0.75,0.5875089599500448,0.1984513281819339,997,997,913,595,294,0.2289942312515676,65,409,0.447973713033954,True
Breast7,Breast,4490,0.75,0.75,0.7148661095395104,0.6305652053655584,1123,1123,1490,211,250,0.33184855233853006,84,1023,0.6865771812080537,True
Breast8,Breast,4738,0.75,0.75,0.7017921862432481,0.44590480213354033,1185,1185,1225,489,504,0.25854791051076403,113,300,0.24489795918367346,True
Breast9,Breast,4865,0.75,0.75,0.6874043540972254,0.3314751864644331,1217,1217,1409,411,404,0.2896197327852004,138,180,0.127750177430802,True
Colorectal5,Colorectal,4882,0.75,0.75,0.7138447485213537,0.5119743527230469,1221,1221,598,898,910,0.12249078246620237,71,88,0.14715719063545152,True
Colorectal6,Colorectal,4763,0.75,0.75,0.6845744386955275,0.4564478739478922,1191,1191,420,991,948,0.08817971866470711,64,34,0.08095238095238096,True
Colorectal7,Colorectal,4773,0.75,0.75,0.8129733829668426,0.6106939929483094,1194,1194,1167,564,611,0.24450031426775612,70,224,0.1919451585261354,True
Colorectal8,Colorectal,4547,0.75,0.75,0.666045894135781,0.5355459880561373,1137,1137,795,632,750,0.17484055421156808,65,309,0.3886792452830189,True
Glioblstoma2,Glioblastoma,3500,0.75,0.75,0.37478569899924286,0.6647846578679368,875,875,1162,168,136,0.332,80,687,0.5912220309810671,True
Glioblstoma3,Glioblastoma,4402,0.75,0.75,0.6620813671801031,0.5719065244114391,1101,1101,1511,249,191,0.3432530667878237,92,479,0.3170086035737922,True
Glioblstoma4,Glioblastoma,4861,0.75,0.75,0.6410386670600141,0.606076409493435,1216,1216,1672,268,140,0.3439621477062333,101,1048,0.6267942583732058,True
Glioblstoma5,Glioblastoma,4434,0.75,0.75,0.6349624051765538,0.551040718423155,1109,1109,1450,278,129,0.32701849345963013,68,976,0.6731034482758621,True
Lung1,Lung,4948,0.75,0.75,0.5622636002763011,0.6343986587287733,1238,1237,1736,227,167,0.35084882780921584,121,806,0.4642857142857143,True
Lung2,Lung,4708,0.75,0.75,0.7656499036289988,0.6302336558636773,1177,1177,1270,406,472,0.2697536108751062,30,813,0.6401574803149607,True
Lung3,Lung,4949,0.75,0.75,0.7325353029440479,0.583408574438871,1238,1238,1502,331,466,0.3034956556880178,101,321,0.2137150466045273,True
Lung4,Lung,4829,0.75,0.75,0.6070321318467939,0.594471683455548,1208,1208,775,806,774,0.16048871401946574,94,89,0.11483870967741935,True
Lung5,Lung,4082,0.75,0.75,0.7298176686992834,0.5589437350410108,1021,1021,939,470,533,0.2300342969132778,81,254,0.27050053248136313,True
Lung6,Lung,4966,0.75,0.75,0.7000381338599521,0.5776916534131633,1242,1242,1375,382,348,0.27688280306081353,70,664,0.4829090909090909,True
Lung7,Lung,4701,0.75,0.75,0.7493665648543442,0.5779329040295967,1176,1176,983,605,629,0.20910444586258242,88,233,0.237029501525941,True
Ovarian1,Ovarian,2826,0.75,0.75,0.6297320325965792,0.5849407037211904,707,707,759,259,274,0.26857749469214437,55,240,0.31620553359683795,True
Ovarian2,Ovarian,3821,0.75,0.75,0.7804184687327157,0.6146139776701153,956,956,1027,338,374,0.26877780685684377,50,426,0.4148003894839338,True
Prostate5,Prostate,4932,0.75,0.75,0.570973616773096,0.4356618354089376,1233,1233,1209,596,478,0.2451338199513382,94,295,0.24400330851943755,True
Prostate6,Prostate,4942,0.75,0.75,0.7292971094304417,0.4754478646375141,1236,1236,1410,422,467,0.2853095912585998,91,387,0.274468085106383,True
Prostate7,Prostate,4729,0.75,0.75,0.8295700309232519,0.4944689038357448,1183,1183,1072,479,655,0.22668640304504123,92,276,0.2574626865671642,True
Prostate8,Prostate,4948,0.75,0.75,0.6302755777724252,0.44075686687555127,1237,1237,1424,443,453,0.2877930476960388,139,272,0.19101123595505617,True
Prostate9,Prostate,4903,0.75,0.75,0.6712853631333104,0.5470809347314551,1226,1226,1564,308,342,0.3189883744646135,99,385,0.24616368286445012,True
